processing_id	pmid
PID:0000001	40662295
PID:0000002	40449373
PID:0000003	40819473
PID:0000004	40753826
PID:0000005	40680815
PID:0000006	40651655
PID:0000007	40865614
PID:0000008	40635354
PID:0000009	40609958
PID:0000010	40996794
PID:0000011	41023053
PID:0000012	41004592
PID:0000013	40953273
PID:0000014	40938891
PID:0000015	40792479
PID:0000016	40742384
PID:0000017	40843950
PID:0000018	40890283
PID:0000019	40914662
PID:0000020	40844495
PID:0000021	40812640
PID:0000022	40784126
PID:0000023	40772298
PID:0000024	40684658
PID:0000025	40634609
PID:0000026	40602089
PID:0000027	40411659
PID:0000028	40411577
PID:0000029	40927708
PID:0000030	40767435
PID:0000031	40825025
PID:0000032	40742195
PID:0000033	40869047
PID:0000034	40770702
PID:0000035	40324300
PID:0000036	40760602
PID:0000037	40680951
PID:0000038	40473526
PID:0000039	40285953
PID:0000040	40266566
PID:0000041	40157461
PID:0000042	40412372
PID:0000043	40719796
PID:0000044	40638850
PID:0000045	40587098
PID:0000046	40562040
PID:0000047	40659630
PID:0000048	40635030
PID:0000049	40237717
PID:0000050	40593539
PID:0000051	40412358
PID:0000052	40386998
PID:0000053	40516049
PID:0000054	40482031
PID:0000055	40492697
PID:0000056	40607430
PID:0000057	40377318
PID:0000058	40449020
PID:0000059	40339576
PID:0000060	40548474
PID:0000061	40285643
PID:0000062	40285620
PID:0000063	40188650
PID:0000064	40174529
PID:0000065	40156381
PID:0000066	40148706
PID:0000067	40011712
PID:0000068	39947417
PID:0000069	39589706
PID:0000070	39111624
PID:0000071	40377416
PID:0000072	40378041
PID:0000073	40491922
PID:0000074	40509155
PID:0000075	40507784
PID:0000076	40427639
PID:0000077	40315380
PID:0000078	40192644
PID:0000079	40378379
PID:0000080	40375290
PID:0000081	39993524
PID:0000082	40200705
PID:0000083	40346531
PID:0000084	40338932
PID:0000085	40280554
PID:0000086	40259603
PID:0000087	40175289
PID:0000088	40331538
PID:0000089	40287842
PID:0000090	40221891
PID:0000091	40216117
PID:0000092	40204274
PID:0000093	39813914
PID:0000094	38975812
PID:0000095	40362345
PID:0000096	40274908
PID:0000097	40168059
PID:0000098	40162478
PID:0000099	40187773
PID:0000100	40099449
PID:0000101	40087977
PID:0000102	40036685
PID:0000103	40207991
PID:0000104	40181148
PID:0000105	40176082
PID:0000106	40175689
PID:0000107	40015632
PID:0000108	39967571
PID:0000109	39892541
PID:0000110	39849179
PID:0000111	39363095
PID:0000112	40156295
PID:0000113	40063838
PID:0000114	40128267
PID:0000115	40121455
PID:0000116	40119938
PID:0000117	40165956
PID:0000118	40055327
PID:0000119	40053601
PID:0000120	39905713
PID:0000121	39983328
PID:0000122	39947398
PID:0000123	39922311
PID:0000124	39922250
PID:0000125	39874811
PID:0000126	39844613
PID:0000127	39813162
PID:0000128	39508360
PID:0000129	38985995
PID:0000130	38687244
PID:0000131	40016196
PID:0000132	39987207
PID:0000133	40342320
PID:0000134	40004112
PID:0000135	39873163
PID:0000136	39831414
PID:0000137	39991159
PID:0000138	39920693
PID:0000139	39869828
PID:0000140	39905057
PID:0000141	39848925
PID:0000142	39894517
PID:0000143	39788207
PID:0000144	39551873
PID:0000145	39532277
PID:0000146	39551231
PID:0000147	39547554
PID:0000148	39813102
PID:0000149	39863779
PID:0000150	39863644
PID:0000151	39849483
PID:0000152	39744984
PID:0000153	39940683
PID:0000154	39911230
PID:0000155	39369757
PID:0000156	39810347
PID:0000157	39808627
PID:0000158	39710916
PID:0000159	39705316
PID:0000160	39867909
PID:0000161	39616857
PID:0000162	39755729
PID:0000163	39752500
PID:0000164	39417716
PID:0000165	40329569
PID:0000166	40266525
PID:0000167	39722472
PID:0000168	39648870
PID:0000169	39615678
PID:0000170	39565616
PID:0000171	39555730
PID:0000172	39486911
PID:0000173	39436605
PID:0000174	39423957
PID:0000175	39327946
PID:0000176	38937354
PID:0000177	39582226
PID:0000178	39684771
PID:0000179	39654023
PID:0000180	39582293
PID:0000181	39571652
PID:0000182	39551142
PID:0000183	39530129
PID:0000184	39490867
PID:0000185	39466702
PID:0000186	38877341
PID:0000187	39683799
PID:0000188	39535906
PID:0000189	39580509
